Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
DIOURBEL,M’BACKE,MBACKE,MBACKE,"DAROU SALAM",2746,2885,13860,13929,27789
DIOURBEL,M’BACKE,MBACKE,MBACKE,"MBACKE KHEWAR",3456,3843,18706,19158,37864
DIOURBEL,M’BACKE,MBACKE,MBACKE,"MBACKE MOURIDE",217,250,1189,1432,2621
DIOURBEL,M’BACKE,MBACKE,MBACKE,"MBACKE NDIMBE (MBACKE)",1183,1459,6091,6740,12831
DIOURBEL,M’BACKE,MBACKE,MBACKE,NDOYENE,275,312,1711,1958,3669
DIOURBEL,M’BACKE,MBACKE,MBACKE,"PALENE (MBACKE BARRY)",1603,1839,7812,8865,16677
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","BATHIE ROYE",5,6,26,35,61
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","DENDEYE ESCALE",79,82,421,443,864
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","DENDEYE 2 WOLOF",15,15,91,64,155
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","DENDEYE PEULH",8,10,70,44,114
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","GOUYE GUI",35,42,264,233,497
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","H1 BELELE MBABA",4,4,38,39,77
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","H2 BERE",2,4,15,9,24
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","H3 KEUR MOR SARR",4,4,33,22,55
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","H4 KEUR BANDJIRY KA",6,6,28,21,49
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","KELEL CONTOR",4,4,21,25,46
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","H2 KEUR ALIOU KA",2,2,35,31,66
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","KEUR CHEIKH DIOP",16,25,130,144,274
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","KEUR MABALY SENE",7,7,37,36,73
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","KEUR MAR BOYE",3,3,12,6,18
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","KEUR MAR NDIAYE",6,11,89,71,160
DIOURBEL,M’BACKE,KAEL,"DENDEYE GOUY GUI","KEUR SOULEYE DIAGNE",5,5,41,14,55
